ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
129,hap8-ki5-la5-san5,hap5-ki1-la1-san1,ha̍p-kî-lâ-sân,[hap̚˥] [ki˨˦] [la˨˦] [san˨˦],哈基拉山,,,,
130,hap8-ki5-la5,hap5-ki1-la1,ha̍p-kî-lâ,[hap̚˥] [ki˨˦] [la˨˦],哈基拉,,,,
131,hap8-ki5-nga5,hap5-ki1-nga1,ha̍p-kî-ngâ,[hap̚˥] [ki˨˦] [ŋa˨˦],哈基雅,,,,
132,hap8-ki5-to5-lim3,hap5-ki1-to1-lim2,ha̍p-kî-tô-lìm,[hap̚˥] [ki˨˦] [to˨˦] [lim˩˩],哈基多琳,,,,
133,hap8-ki5,hap5-ki1,ha̍p-kî,[hap̚˥] [ki˨˦],哈基,,,,
134,hap8-ko5-sii5,hap5-ko1-sii1,ha̍p-kô-sṳ̂,[hap̚˥] [ko˨˦] [sɨ˨˦],哈歌斯,,,,
135,hap8-ko5-sii5,hap5-ko1-sii1,ha̍p-kô-sṳ̂,[hap̚˥] [ko˨˦] [sɨ˨˦],哈哥斯,,,,
136,hap8-lap8-sang3,hap5-lap5-sang2,ha̍p-la̍p-sàng,[hap̚˥] [lap̚˥] [saŋ˩˩],哈臘城,,,,
137,hap8-lap8,hap5-lap5,ha̍p-la̍p,[hap̚˥] [lap̚˥],哈臘,,,,
138,hap8-let8,hap5-let5,ha̍p-le̍t,[hap̚˥] [let̚˥],哈勒,,,,
139,hap8-lit8-fut-ngin3,hap5-lit5-fut6-ngin2,ha̍p-li̍t-fut-ngìn,[hap̚˥] [lit̚˥] [fut̚˨] [ɲin˩˩],哈律弗人,,,,
140,hap8-lit8-ngin3,hap5-lit5-ngin2,ha̍p-li̍t-ngìn,[hap̚˥] [lit̚˥] [ɲin˩˩],哈律人,,,,
141,hap8-lit8,hap5-lit5,ha̍p-li̍t,[hap̚˥] [lit̚˥],哈律,,,,
142,hap8-liet8,hap5-liet5,ha̍p-lie̍t,[hap̚˥] [liet̚˥],哈列,,,,
143,hap8-li,hap5-li4,ha̍p-li,[hap̚˥] [li˥˥],哈利,,,,
144,hap8-lu-mat,hap5-lu4-mat6,ha̍p-lu-mat,[hap̚˥] [lu˥˥] [mat̚˨],哈路抹,,,,
145,hap8-la5-thai,hap5-la1-thai4,ha̍p-lâ-thai,[hap̚˥] [la˨˦] [tʰai˥˥],哈拉大,,,,
146,hap8-la5-ngin3,hap5-la1-ngin2,ha̍p-lâ-ngìn,[hap̚˥] [la˨˦] [ɲin˩˩],哈拉人,,,,
147,hap8-la5-san5,hap5-la1-san1,ha̍p-lâ-sân,[hap̚˥] [la˨˦] [san˨˦],哈拉山,,,,
148,hap8-la5,hap5-la1,ha̍p-lâ,[hap̚˥] [la˨˦],哈拉,,,,
149,hap8-lu5-sii5,hap5-lu1-sii1,ha̍p-lû-sṳ̂,[hap̚˥] [lu˨˦] [sɨ˨˦],哈魯斯,,,,
150,hap8-lan3,hap5-lan2,ha̍p-làn,[hap̚˥] [lan˩˩],哈蘭,,,,
151,hap8-lim3-chhuk8,hap5-lim2-chhuk5,ha̍p-lìm-chhu̍k,[hap̚˥] [lim˩˩] [tsʰuk̚˥],哈琳族,,,,
152,hap8-lim3-ngin3,hap5-lim2-ngin2,ha̍p-lìm-ngìn,[hap̚˥] [lim˩˩] [ɲin˩˩],哈琳人,,,,
153,hap8-lim3,hap5-lim2,ha̍p-lìm,[hap̚˥] [lim˩˩],哈琳,,,,
154,hap8-lo3-het,hap5-lo2-het6,ha̍p-lò-het,[hap̚˥] [lo˩˩] [het̚˨],哈羅黑,,,,
155,hap8-lo3-yi5,hap5-lo2-yi1,ha̍p-lò-yî,[hap̚˥] [lo˩˩] [yi˨˦],哈羅以,,,,
156,hap8-lun3,hap5-lun2,ha̍p-lùn,[hap̚˥] [lun˩˩],哈崙,,,,
157,hap8-mi2-fut-kap-mun3,hap5-mi3-fut6-kap6-mun2,ha̍p-mí-fut-kap-mùn,[hap̚˥] [mi˧˩] [fut̚˨] [kap̚˨] [mun˩˩],哈米弗甲門,,,,
158,hap8-mi2-kit-to5-tun,hap5-mi3-kit6-to1-tun4,ha̍p-mí-kit-tô-tun,[hap̚˥] [mi˧˩] [kit̚˨] [to˨˦] [tun˥˥],哈米吉多頓,,,,
159,hap8-mi2-thai-tha5,hap5-mi3-thai4-tha1,ha̍p-mí-thai-thâ,[hap̚˥] [mi˧˩] [tʰai˥˥] [tʰa˨˦],哈米大他,,,,
160,hap8-mak8,hap5-mak5,ha̍p-ma̍k,[hap̚˥] [mak̚˥],哈麥,,,,
161,hap8-mat8-to5-ngi2,hap5-mat5-to1-ngi3,ha̍p-ma̍t-tô-ngí,[hap̚˥] [mat̚˥] [to˨˦] [ɲi˧˩],哈末．多珥,,,,
162,hap8-mat8,hap5-mat5,ha̍p-ma̍t,[hap̚˥] [mat̚˥],哈末,,,,
163,hap8-man,hap5-man4,ha̍p-man,[hap̚˥] [man˥˥],哈曼,,,,
164,hap8-mat,hap5-mat6,ha̍p-mat,[hap̚˥] [mat̚˨],哈抹,,,,
165,hap8-mu-tha5,hap5-mu4-tha1,ha̍p-mu-thâ,[hap̚˥] [mu˥˥] [tʰa˨˦],哈慕她,,,,
166,hap8-ma5,hap5-ma1,ha̍p-mâ,[hap̚˥] [ma˨˦],哈瑪,,,,
167,hap8-ma5-ngin3,hap5-ma1-ngin2,ha̍p-mâ-ngìn,[hap̚˥] [ma˨˦] [ɲin˩˩],哈馬人,,,,
