ID,FHL_DICT_Numeric,FHL_DICT_Unicode,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
129,hap8-ki5-la5-san5,ha̍p-kî-lâ-sân,哈基拉山,,,,
130,hap8-ki5-la5,ha̍p-kî-lâ,哈基拉,,,,
131,hap8-ki5-nga5,ha̍p-kî-ngâ,哈基雅,,,,
132,hap8-ki5-to5-lim3,ha̍p-kî-tô-lìm,哈基多琳,,,,
133,hap8-ki5,ha̍p-kî,哈基,,,,
134,hap8-ko5-sii5,ha̍p-kô-sṳ̂,哈歌斯,,,,
135,hap8-ko5-sii5,ha̍p-kô-sṳ̂,哈哥斯,,,,
136,hap8-lap8-sang3,ha̍p-la̍p-sàng,哈臘城,,,,
137,hap8-lap8,ha̍p-la̍p,哈臘,,,,
138,hap8-let8,ha̍p-le̍t,哈勒,,,,
139,hap8-lit8-fut-ngin3,ha̍p-li̍t-fut-ngìn,哈律弗人,,,,
140,hap8-lit8-ngin3,ha̍p-li̍t-ngìn,哈律人,,,,
141,hap8-lit8,ha̍p-li̍t,哈律,,,,
142,hap8-liet8,ha̍p-lie̍t,哈列,,,,
143,hap8-li,ha̍p-li,哈利,,,,
144,hap8-lu-mat,ha̍p-lu-mat,哈路抹,,,,
145,hap8-la5-thai,ha̍p-lâ-thai,哈拉大,,,,
146,hap8-la5-ngin3,ha̍p-lâ-ngìn,哈拉人,,,,
147,hap8-la5-san5,ha̍p-lâ-sân,哈拉山,,,,
148,hap8-la5,ha̍p-lâ,哈拉,,,,
149,hap8-lu5-sii5,ha̍p-lû-sṳ̂,哈魯斯,,,,
150,hap8-lan3,ha̍p-làn,哈蘭,,,,
151,hap8-lim3-chhuk8,ha̍p-lìm-chhu̍k,哈琳族,,,,
152,hap8-lim3-ngin3,ha̍p-lìm-ngìn,哈琳人,,,,
153,hap8-lim3,ha̍p-lìm,哈琳,,,,
154,hap8-lo3-het,ha̍p-lò-het,哈羅黑,,,,
155,hap8-lo3-yi5,ha̍p-lò-yî,哈羅以,,,,
156,hap8-lun3,ha̍p-lùn,哈崙,,,,
157,hap8-mi2-fut-kap-mun3,ha̍p-mí-fut-kap-mùn,哈米弗甲門,,,,
158,hap8-mi2-kit-to5-tun,ha̍p-mí-kit-tô-tun,哈米吉多頓,,,,
159,hap8-mi2-thai-tha5,ha̍p-mí-thai-thâ,哈米大他,,,,
160,hap8-mak8,ha̍p-ma̍k,哈麥,,,,
161,hap8-mat8-to5-ngi2,ha̍p-ma̍t-tô-ngí,哈末．多珥,,,,
162,hap8-mat8,ha̍p-ma̍t,哈末,,,,
163,hap8-man,ha̍p-man,哈曼,,,,
